Latitude;Longitude;gares_id;nom_gare;nomlong;ligne;x;y
48.8534369623;2.36873657263;55;Bastille;BASTILLE;5;653679.5214;6861673.7301
48.8723101138;2.37670214473;61;Belleville;BELLEVILLE;2;654280.5677;6863767.6337
48.8400013895;2.3795540112;66;Bercy;BERCY;14;654461.522;6860173.5295
48.8297905137;2.35041487201;212;Corvisart;CORVISART;6;652313.5223;6859055.391
48.8690911629;2.38054258599;220;Couronnes;COURONNES;2;654559.4536;6863407.4921
48.814803007;2.42237614285;12;École Vétérinaire de Maisons-Alfort;ECOLE VETERINAIRE DE MAISONS-ALFORT;8;657583.9566;6857347.8995
48.8406632293;2.32638461079;250;Edgar Quinet;EDGAR QUINET;6;650559.8002;6860279.0962
48.8466568513;2.35162325638;125;Cardinal Lemoine;CARDINAL-LEMOINE;10;652417.6279;6860930.0204
48.8679053449;2.31354554995;144;Champs-Élysées-Clémenceau;CHAMPS-ELYSEES-CLEMENCEAU;1;649643.8307;6863316.2783
48.8676021452;2.31389412912;145;Champs-Élysées-Clémenceau;CHAMPS-ELYSEES-CLEMENCEAU;13;649669.1078;6863282.3427
48.8215957673;2.41373751752;150;Charenton-Écoles;CHARENTON-ECOLES;8;656955.2248;6858107.8489
48.8545804991;2.38556348082;156;Charonne;CHARONNE;9;654915.2006;6861791.1422
48.8873749106;2.3496940822;162;Château Rouge;CHATEAU ROUGE;4;652313.3429;6865458.7189
48.8575563594;2.34830889513;165;Châtelet;CHATELET;11;652184.4051;6862143.9475
48.8583823703;2.34756482975;168;Châtelet;CHATELET;4;652130.572;6862236.2436
48.8731092743;2.33345121858;173;Chaussée d'Antin (La Fayette);CHAUSSEE D'ANTIN (LA FAYETTE);7;651108.8982;6863882.4057
48.8729376577;2.33347913185;174;Chaussée d'Antin (La Fayette);CHAUSSEE D'ANTIN (LA FAYETTE);9;651110.7845;6863863.3059
48.8549363766;2.34732131573;188;Cité;CITE;4;652109.5385;6861853.227
48.8662858046;2.32294341224;199;Concorde;CONCORDE;1;650331.6676;6863130.2462
48.866818369;2.32208284869;201;Concorde;CONCORDE;8;650269.0473;6863190.0047
48.8373074946;2.29663034323;206;Convention;CONVENTION;12;648372.7098;6859925.0172
48.8649166851;2.39898444025;301;Gambetta;GAMBETTA;3;655908.7036;6862932.8653
48.8574518326;2.35100846139;353;Hôtel de Ville;HOTEL DE VILLE;11;652382.3765;6862130.6937
48.8429386959;2.26003290221;278;Exelmans;EXELMANS;9;645692.4042;6860575.6926
48.863257945;2.36666109472;283;Filles du Calvaire;FILLES DU CALVAIRE;8;653535.9904;6862766.9605
48.8460276494;2.37496291887;962;Gare de Lyon;GARE DE LYON;1;654129.8636;6860846.2479
48.8795512844;2.35699516401;318;Gare du Nord;GARE DU NORD;4;652841.632;6864584.3939
48.87080998;2.36102746692;370;Jacques Bonsergent;JACQUES BONSERGENT;5;653129.4916;6863610.0193
48.8459506666;2.35505026306;384;Jussieu;JUSSIEU;7;652668.4784;6860849.4399
48.8843987952;2.36049131853;409;La Chapelle;LA CHAPELLE;2;653102.402;6865121.3253
48.8754537705;2.32678520026;769;Saint-Lazare;SAINT-LAZARE;12;650622.1827;6864147.2447
48.8904854538;2.35999576641;519;Marx Dormoy;MARX DORMOY;12;653071.5478;6865798.4225
48.8501273238;2.34805429048;525;Maubert-Mutualité;MAUBERT-MUTUALITE;10;652158.9045;6861318.0602
48.8668000351;2.38338325046;533;Ménilmontant;MENILMONTANT;2;654765.838;6863151.1043
48.8479348079;2.26421877705;542;Michel Ange-Auteuil;MICHEL-ANGE-AUTEUIL;10;646004.7811;6861128.3349
48.8871839469;2.32577967481;416;La Fourche;LA FOURCHE;13;650559.5701;6865452.1927
48.8487416657;2.29893091175;421;La Motte Picquet-Grenelle;LA MOTTE-PICQUET-GRENELLE;6;648552.855;6861194.8727
48.8580460563;2.27415463109;423;La Muette;LA MUETTE;9;646744.2368;6862245.8558
48.8896740712;2.3387606492;419;Lamarck-Caulaincourt;LAMARCK-CAULAINCOURT;12;651513.7584;6865721.0309
48.8852161821;2.37966307748;426;Laumière;LAUMIERE;5;654509.0245;6865200.9983
48.8101299573;2.36226338713;442;Le Kremlin-BicÃªtre;LE KREMLIN-BICETRE;7;653165.655;6856862.2879
