x;y;Station;prix_moyen_2014;prix_moyen_2015;prix_moyen_2016;prix_moyen_2017;prix_moyen_2018;prix_moyen_2019;prix_moyen_global;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Trafic;nb_lignes
650295.504225;6860539.7126;MONTPARNASSE;9984.74445957278;9361.90547378732;9815.47344049318;9769.62420491784;10827.335095857;12188.8565806876;10324.6565425526;4;6;12;13;;29857740;4
650794.4816;6859215.1047;MOUTON-DUVERNET;8464.15912258204;8145.29022233596;7789.78689073157;8345.434152087;8780.57256765941;10322.0144542769;8641.20956827883;4;;;;;1583761;1
655637.9985;6861064.20032499;NATION;7708.06742359743;7605.74056283814;7626.62238130196;8227.77359344898;8963.13487225157;9292.10436356207;8237.24053283336;1;2;6;9;;8834660;4
653229.9171;6859428.9054;NATIONALE;7216.52755206182;7204.25813231385;7715.0166466582;7751.03941137464;7400.02435606144;8477.83306676796;7627.44986087299;6;;;;;2497964;1
651436.9357;6864204.0114;NOTRE-DAME-DE-LORETTE;9273.07378467252;8593.8478804113;8566.98650594413;9630.32077089102;11707.7130190342;13193.0140131334;10160.8259956811;12;;;;;2833104;1
650739.5063;6860753.4255;NOTRE-DAME-DES-CHAMPS;10658.4310909815;10619.0314585275;10449.3512853221;11610.2754505139;12173.2000431962;13153.2025888421;11443.9153195639;12;;;;;2051828;1
653668.739349999;6862925.4466;OBERKAMPF;8462.55646415777;8318.13088663918;8344.58963999255;9935.32042231007;9330.7454508331;11034.624216324;9237.66118004279;5;9;;;;4416955;2
651546.8732;6861557.40609999;ODEON;12239.1673396593;11847.7626348169;11654.8316818777;13728.907326196;13753.8582302618;15236.2902228436;13076.8029059426;4;10;;;;5600764;2
653604.5847;6858764.7361;OLYMPIADES;6676.63467655539;6693.58524139349;7219.73389670778;7738.27517075635;7676.57705583602;8896.26097799855;7483.5111698746;14;;;;;7912359;1
651013.288333333;6863616.0505;OPERA;10985.7961264679;9185.97340202771;9703.31615763247;10357.9061264445;13525.1353907694;14450.0955548279;11368.0371263616;3;7;8;;;10501357;3
655045.7743;6865410.1669;OURCQ;6536.89922054655;6199.01662802599;5965.62983397753;7105.33446579745;7390.98162720941;8120.40071012591;6886.37708094714;5;;;;;3763663;1
651336.440549999;6862710.6177;PALAIS ROYAL-MUSEE DU LOUVRE;10276.5354257181;11159.7555983404;10568.9254194498;13037.4960922901;13453.5807284019;14785.4885569023;12213.6303035171;1;7;;;;9592920;2
654118.8397;6862984.2509;PARMENTIER;7762.58084517505;7528.52370494761;7825.2993638845;8957.7853017811;9582.82874306394;9585.20950443773;8540.37124388165;3;;;;;3103492;1
