name,annee,value,category,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Trafic,nb_lignes,date
 MONCEAU , 2014 , 9408 , 2 ,  ,  ,  ,  , 1672269 , 1 , 2014-01-01 
 MONTGALLET , 2014 , 7700 , 8 ,  ,  ,  ,  , 1596702 , 1 , 2014-01-01 
 MONTPARNASSE , 2014 , 9984 , 4 , 6 , 12 , 13 ,  , 29857740 , 4 , 2014-01-01 
 MOUTON-DUVERNET , 2014 , 8464 , 4 ,  ,  ,  ,  , 1583761 , 1 , 2014-01-01 
 NATION , 2014 , 7708 , 1 , 2 , 6 , 9 ,  , 8834660 , 4 , 2014-01-01 
 NATIONALE , 2014 , 7216 , 6 ,  ,  ,  ,  , 2497964 , 1 , 2014-01-01 
 NOTRE-DAME-DE-LORETTE , 2014 , 9273 , 12 ,  ,  ,  ,  , 2833104 , 1 , 2014-01-01 
 NOTRE-DAME-DES-CHAMPS , 2014 , 10658 , 12 ,  ,  ,  ,  , 2051828 , 1 , 2014-01-01 
 OBERKAMPF , 2014 , 8462 , 5 , 9 ,  ,  ,  , 4416955 , 2 , 2014-01-01 
 ODEON , 2014 , 12239 , 4 , 10 ,  ,  ,  , 5600764 , 2 , 2014-01-01 
 OLYMPIADES , 2014 , 6676 , 14 ,  ,  ,  ,  , 7912359 , 1 , 2014-01-01 
 OPERA , 2014 , 10985 , 3 , 7 , 8 ,  ,  , 10501357 , 3 , 2014-01-01 
 OURCQ , 2014 , 6536 , 5 ,  ,  ,  ,  , 3763663 , 1 , 2014-01-01 
 PALAIS  ROYAL-MUSEE  DU  LOUVRE , 2014 , 10276 , 1 , 7 ,  ,  ,  , 9592920 , 2 , 2014-01-01 
 PARMENTIER , 2014 , 7762 , 3 ,  ,  ,  ,  , 3103492 , 1 , 2014-01-01 
 PASSY , 2014 , 9374 , 6 ,  ,  ,  ,  , 3187985 , 1 , 2014-01-01 
 PASTEUR , 2014 , 8799 , 6 , 12 ,  ,  ,  , 4493457 , 2 , 2014-01-01 
 PELLEPORT , 2014 , 6540 , 3bis ,  ,  ,  ,  , 329597 , 1 , 2014-01-01 
 PERE  LACHAISE , 2014 , 7584 , 2 , 3 ,  ,  ,  , 4724592 , 2 , 2014-01-01 
 PEREIRE-LEVALLOIS , 2014 , 8583 , 3 ,  ,  ,  ,  , 4446732 , 1 , 2014-01-01 
 PERNETY , 2014 , 8108 , 13 ,  ,  ,  ,  , 3050541 , 1 , 2014-01-01 
 PHILIPPE  AUGUSTE , 2014 , 7466 , 2 ,  ,  ,  ,  , 1763562 , 1 , 2014-01-01 
 PICPUS , 2014 , 7605 , 6 ,  ,  ,  ,  , 1302314 , 1 , 2014-01-01 
 PIGALLE , 2014 , 8785 , 2 , 12 ,  ,  ,  , 5599495 , 2 , 2014-01-01 
 PLACE  D'ITALIE , 2014 , 7890 , 5 , 6 , 7 ,  ,  , 10577276 , 3 , 2014-01-01 
 PLACE  DE  CLICHY , 2014 , 8351 , 2 , 13 ,  ,  ,  , 8020440 , 2 , 2014-01-01 
 PLACE  DES  FETES , 2014 , 6739 , 7bis , 11 ,  ,  ,  , 2921564 , 2 , 2014-01-01 
 PLACE  MONGE  (JARDIN  DES  PLANTES) , 2014 , 12533 , 7 ,  ,  ,  ,  , 2828772 , 1 , 2014-01-01 
 PLAISANCE , 2014 , 7815 , 13 ,  ,  ,  ,  , 4784211 , 1 , 2014-01-01 
 POISSONNIERE , 2014 , 7913 , 7 ,  ,  ,  ,  , 3466034 , 1 , 2014-01-01 
 PONT-MARIE  (CITE  DES  ARTS) , 2014 , 11289 , 7 ,  ,  ,  ,  , 1733641 , 1 , 2014-01-01 
 PONT-NEUF  (LA  MONNAIE) , 2014 , 9989 , 7 ,  ,  ,  ,  , 1546517 , 1 , 2014-01-01 
 PORTE  D'AUTEUIL , 2014 , 8352 , 10 ,  ,  ,  ,  , 622094 , 1 , 2014-01-01 
 PORTE  D'ITALIE , 2014 , 6402 , 7 ,  ,  ,  ,  , 2363639 , 1 , 2014-01-01 
 PORTE  D'IVRY , 2014 , 5561 , 7 ,  ,  ,  ,  , 1901960 , 1 , 2014-01-01 
 PORTE  D'ORLEANS , 2014 , 7998 , 4 ,  ,  ,  ,  , 6259225 , 1 , 2014-01-01 
 PORTE  DAUPHINE , 2014 , 9331 , 2 ,  ,  ,  ,  , 2932159 , 1 , 2014-01-01 
 PORTE  DE  BAGNOLET , 2014 , 6644 , 3 ,  ,  ,  ,  , 4020800 , 1 , 2014-01-01 
 PORTE  DE  CHAMPERRET , 2014 , 8348 , 3 ,  ,  ,  ,  , 3189251 , 1 , 2014-01-01 
