index;Latitude;Longitude;gares_id;nom_gare;nomlong;ligne;x;y;prix_moyen_2014;prix_moyen_2015;prix_moyen_2016;prix_moyen_2017;prix_moyen_2018;prix_moyen_2019;prix_moyen_global
356;48,88361499;2,327839556;649;Place de Clichy;PLACE DE CLICHY;2;650707,2389;6865054,059;8024.23145900665;7771.68182560516;8532.52284627753;9456.09091036678;9192.87555689833;10384.7166699355;8893.68654468166
204;48,87680639;2,393056093;650;Place des FÃªtes;PLACE DES FETES;11;655483,9629;6864258,246;7846.21067271665;6077.87274798996;6518.96491380441;7646.82905217997;7513.8031261167;8044.78055777111;7274.74351176313
357;48,87694985;2,392983965;651;Place des FÃªtes;PLACE DES FETES;7b;655478,7954;6864274,238;7832.33955874048;6059.3606599736;6519.33936039471;7682.43342905124;7654.2453878801;8067.4797372495;7302.53302221494
273;48,83097267;2,355580274;652;Place d'Italie;PLACE D'ITALIE;5;652693,7822;6859183,727;7746.91448663761;7326.21456422831;7738.76367912108;7889.1997081628;8368.09123552399;8650.04849899594;7953.20536211162
40;48,83092724;2,356121939;653;Place d'Italie;PLACE D'ITALIE;6;652733,5032;6859178,351;7645.73513836872;7375.11719426359;7671.35042301227;7589.76151467498;8368.70665410327;8584.55184007816;7872.53712741683
205;48,83143363;2,355643643;654;Place d'Italie;PLACE D'ITALIE;7;652698,8522;6859234,942;7785.69784903003;7446.14036785065;7705.61701429739;7814.34080400883;8303.9008451095;8712.12472869772;7961.30360149902
106;48,84286683;2,352224728;655;Place Monge (Jardin des Plantes);PLACE MONGE (JARDIN DES PLANTES);7;652458,3099;6860508,245;12383.0371019797;10724.3612201723;10026.9867896914;10498.2234188916;11133.5820024061;10884.0511111709;10941.7069407187
109;48,83182565;2,314122323;656;Plaisance;PLAISANCE;13;649651,2929;6859304,204;7604.0971473431;7615.86833849713;8081.04391282067;8080.33243496048;8559.57805834739;5733.54755793079;7612.41124164993
277;48,87723632;2,349293902;659;Poissonnière;POISSONNIERE;7;652274,7082;6864331,612;7628.92751655549;7603.8847920311;9420.63559918413;8792.27266864296;9642.44189537676;9986.72236628639;8845.81413967948
278;48,85357547;2,357162572;673;Pont Marie (Cité des Arts);PONT-MARIE (CITE DES ARTS);7;652830,3951;6861695,983;10941.5944609952;10810.5837615343;10876.3428863383;13595.4559428166;14461.6365670582;14087.2610831964;12462.1457836565
